Title,Accession number,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Publisher,Volume,Issue,Pages,Issue date,Publication year,Language,ISSN,E-ISSN,DOI,Article number,CODEN,Document type,Abstract,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Database,Copyright,Data Provider
"Bi-layer Channel AZO/ZnO Thin Film Transistors Fabricated by Atomic Layer Deposition Technique","20171303502451","Li, Huijin (1); Han, Dedong (1); Liu, Liqiao (1); Dong, Junchen (1); Cui, Guodong (1); Zhang, Shengdong (2); Zhang, Xing (1); Wang, Yi (1) ","(1) Institute of Microelectronics, Peking University, Beijing; 100871, China (2) Shenzhen Graduate School, Peking University, Shenzhen; 518055, China ","Han, Dedong(handedong@pku.edu.cn) ","Nanoscale Research Letters","Nanoscale Res. Lett.","Springer New York LLC","12","1","","December 1, 2017","2017","English","19317573","1556276X","10.1186/s11671-017-1999-7","223","","Journal article (JA)","This letter demonstrates bi-layer channel Al-doped ZnO/ZnO thin film transistors (AZO/ZnO TFTs) via atomic layer deposition process at a relatively low temperature. The effects of annealing in oxygen atmosphere at different temperatures have also been investigated. The ALD bi-layer channel AZO/ZnO TFTs annealed in dry O2at 300 °C exhibit a low leakage current of 2.5 × 10−13A, Ion/Ioffratio of 1.4 × 107, subthreshold swing (SS) of 0.23 V/decade, and high transmittance. The enhanced performance obtained from the bi-layer channel AZO/ZnO TFT devices is explained by the inserted AZO front channel layer playing the role of the mobility booster. © 2017, The Author(s).","29","Atomic layer deposition","Deposition - Leakage currents - Semiconducting organic compounds - Temperature - Thin film circuits - Thin film transistors - Thin films - Zinc oxide","Al-doped ZnO - Bi-layer - Channel layers - High transmittance - Low temperatures - Low-leakage current - Oxygen atmosphere - Sub-threshold swing(ss)","641.1 ThermodynamicsThermodynamics - 701.1 Electricity: Basic Concepts and PhenomenaElectricity: Basic Concepts and Phenomena - 712.1.2 Compound Semiconducting MaterialsCompound Semiconducting Materials - 714.2 Semiconductor Devices and Integrated CircuitsSemiconductor Devices and Integrated Circuits - 802.3 Chemical OperationsChemical Operations - 804.2 Inorganic CompoundsInorganic Compounds - 813.1 Coating TechniquesCoating Techniques","Compendex","Compilation and indexing terms, Copyright 2017 Elsevier Inc.","Engineering Village"
"Green-Emitting Gd3Ga5O12: Tb3+Nanoparticles Phosphor: Synthesis, Structure, and Luminescence","20171503563176","Luchechko, A. (1); Kostyk, L. (1); Varvarenko, S. (2); Tsvetkova, O. (1); Kravets, O. (1) ","(1) Department of Sensor and Semiconductor Electronics, Ivan Franko National University of Lviv, Tarnavskogo St. 107, Lviv; 79017, Ukraine (2) Department of Organic Chemistry, Lviv Polytechnic National University, Bandera St. 12, Lviv; 79013, Ukraine ","Luchechko, A.(luchechko@electronics.lnu.edu.ua) ","Nanoscale Research Letters","Nanoscale Res. Lett.","Springer New York LLC","12","1","","December 1, 2017","2017","English","19317573","1556276X","10.1186/s11671-017-2032-x","263","","Journal article (JA)","Nano- and microceramics of Gd3Ga5O12garnet doped with 1 mol % Tb3+ions were synthesized via co-precipitation and high-temperature solid-state reaction methods. X-ray diffraction measurements confirmed the formation of the garnet structure with Ia3d space group in all investigated samples. Atomic force microscopy surface images and grain-size distribution diagrams of Gd3Ga5O12: 1 mol % Tb3+nanoceramics with 300 and 400 g/mol of polyethylene glycol (PEG) were obtained. The relationship between the content of polyethylene glycol and the particle size of Gd3Ga5O12: Tb3+phosphors was revealed. An intense broad band (λm= 266 nm) related to spin-allowed 4f8-4f75d1transitions of Tb3+ions was found in photoluminescence excitation spectra of Gd3Ga5O12: Tb3+nanocrystalline ceramics with PEG-300 and PEG-400 at 300 K. The broad excitation band caused by spin-forbidden (λm= 295 nm) 4f-5d transitions in Tb3+ions was additionally observed in the photoluminescence excitation spectra of Gd3Ga5O12: Tb3+microceramics. Emission of Tb3+ions under X-ray and UV excitations is presented by two groups of sharp lines which correspond to5D3and5D4→7Fjtransitions of Tb3+ions with the most intense line at 546 nm (5D4→7F5). It was established that the increasing of PEG content leads to the decreasing of the X-ray and photoluminescence emission intensities. © 2017, The Author(s).","12","Terbium","Atomic force microscopy - Coprecipitation - Excited states - Garnets - Grain size and shape - High temperature applications - Ions - Light emission - Luminescence - Nanocrystals - Nanoparticles - Particle size - Phosphors - Photoluminescence - Polyethylene glycols - Polyethylenes - Precipitation (chemical) - Solid state reactions - Synthesis (chemical) - X ray diffraction","Coprecipitation method - Excitation spectrum - High temperature solid-state reaction - Nano- and microceramics - Photoluminescence emission - Photoluminescence excitation spectrum - X ray luminescence - X-ray diffraction measurements","547.2 Rare Earth MetalsRare Earth Metals - 741.1 Light/OpticsLight/Optics - 741.3 Optical Devices and SystemsOptical Devices and Systems - 761 NanotechnologyNanotechnology - 802.2 Chemical ReactionsChemical Reactions - 802.3 Chemical OperationsChemical Operations - 815.1.1 Organic PolymersOrganic Polymers - 931.3 Atomic and Molecular PhysicsAtomic and Molecular Physics - 933 Solid State PhysicsSolid State Physics","Compendex","Compilation and indexing terms, Copyright 2017 Elsevier Inc.","Engineering Village"
"Self-catalyzed Growth of InAs Nanowires on InP Substrate","20170303262591","Li, Bang (1); Yan, Xin (1); Zhang, Xia (1); Ren, Xiaomin (1) ","(1) State Key Laboratory of Information Photonics and Optical Communications, Beijing University of Posts and Telecommunications, Beijing; 100876, China ","Zhang, Xia(xzhang@bupt.edu.cn) ","Nanoscale Research Letters","Nanoscale Res. Lett.","Springer New York LLC","12","1","","December 1, 2017","2017","English","19317573","1556276X","10.1186/s11671-017-1825-2","34","","Journal article (JA)","We report on the self-catalyzed growth of InAs nanowires on InP substrate by metal-organic chemical vapor deposition. At a moderate V/III ratio, tapered nanowires are obtained, suggesting a strong surface diffusion effect. Dense twin faults are observed perpendicular to the nanowire growth direction due to the fluctuation of In atoms in the droplet originating from the surface diffusion effect. At a lower V/III ratio, the nanowires exhibit kinking, which is associated with a high adhesion due to a large sticking coefficient of TMIn. The twin faults are dramatically suppressed and even completely eliminated in the NW branch after kinking, which is attributed to a stable In supply with a negligible diffusion effect. This work provides a method for the fabrication of defect-free InAs nanowires. © 2017, The Author(s).","28","Nanowires","Catalysis - Diffusion - Metallorganic chemical vapor deposition - Organic chemicals - Organometallics - Surface diffusion","Diffusion effects - Inas nanowires - InP substrates - Kink - Nanowire growth - Self-catalyzed - Self-catalyzed growth - Sticking coefficients","761 NanotechnologyNanotechnology - 802.2 Chemical ReactionsChemical Reactions - 804.1 Organic CompoundsOrganic Compounds - 933 Solid State PhysicsSolid State Physics","Compendex","Compilation and indexing terms, Copyright 2017 Elsevier Inc.","Engineering Village"
"Self-Consistent Charge Density Functional Tight-Binding Study of Poly(3,4-ethylenedioxythiophene): Poly(styrenesulfonate) Ammonia Gas Sensor","20170703338784","Marutaphan, Ampaiwan (1, 2); Seekaew, Yotsarayuth (1); Wongchoosuk, Chatchawal (1) ","(1) Department of Physics, Faculty of Science, Kasetsart University, Chatuchak; Bangkok; 10900, Thailand (2) Faculty of Science and Technology, Rajamangala University of Technology Suvarnabhumi, Nonthaburi; 11000, Thailand ","Wongchoosuk, Chatchawal(Chatchawal.w@ku.ac.th) ","Nanoscale Research Letters","Nanoscale Res. Lett.","Springer New York LLC","12","1","","December 1, 2017","2017","English","19317573","1556276X","10.1186/s11671-017-1878-2","90","","Journal article (JA)","Geometric and electronic properties of 3,4-ethylenedioxythiophene (EDOT), styrene sulfonate (SS), and EDOT: SS oligomers up to 10 repeating units were studied by the self-consistent charge density functional tight-binding (SCC-DFTB) method. An application of PEDOT:PSS for ammonia (NH3) detection was highlighted and investigated both experimentally and theoretically. The results showed an important role of H-bonds in EDOT:SS oligomers complex conformation. Electrical conductivity of EDOT increased with increasing oligomers and doping SS due to enhancement of π conjugation. Printed PEDOT:PSS gas sensor exhibited relatively high response and selectivity to NH3. The SCC-DFTB calculation suggested domination of direct charge transfer process in changing of PEDOT:PSS conductivity upon NH3exposure at room temperature. The NH3molecules preferred to bind with PEDOT:PSS via physisorption. The most favorable adsorption site for PEDOT:PSS-NH3interaction was found to be at the nitrogen atom of NH3and hydrogen atoms of SS with an average optimal binding distance of 2.00 Å. © 2017, The Author(s).","55","Conducting polymers","Ammonia - Atoms - Bins - Charge density - Charge transfer - Electronic properties - Gas detectors - Oligomers - Styrene","3 ,4 ethylenedioxythiophene (EDOT) - Ammonia gas sensors - Density functional tight bindings - Electrical conductivity - PEDOT:PSS - Poly(3 ,4-ethylenedioxythiophene):poly(styrenesulfonate) - QM/MD simulation - SCC-DFTB","694.4 StorageStorage - 701.1 Electricity: Basic Concepts and PhenomenaElectricity: Basic Concepts and Phenomena - 802.2 Chemical ReactionsChemical Reactions - 804.1 Organic CompoundsOrganic Compounds - 804.2 Inorganic CompoundsInorganic Compounds - 815.1 Polymeric MaterialsPolymeric Materials - 815.1.1 Organic PolymersOrganic Polymers - 914.1 Accidents and Accident PreventionAccidents and Accident Prevention - 931.3 Atomic and Molecular PhysicsAtomic and Molecular Physics","Compendex","Compilation and indexing terms, Copyright 2017 Elsevier Inc.","Engineering Village"
"Stable and Controllable Synthesis of Silver Nanowires for Transparent Conducting Film","20171303502719","Liu, Bitao (1, 3); Yan, Hengqing (1); Chen, Shanyong (1); Guan, Youwei (1); Wu, Guoguo (2); Jin, Rong (1); Li, Lu (1) ","(1) Research Institute for New Materials Technology, Chongqing University of Arts and Sciences, Yongchuan, Chongqing; 402160, China (2) School of Mechatronics Engineering, Chongqing University of Arts and Sciences, Yongchuan, Chongqing; 402160, China (3) Chongqing Co-Innovation Center for Micro/Nano Optoelectronic Materials and Devices, Chongqing University of Arts and Sciences, Yongchuan, Chongqing; 402160, China ","Liu, Bitao(liubitao007@163.com) ","Nanoscale Research Letters","Nanoscale Res. Lett.","Springer New York LLC","12","1","","December 1, 2017","2017","English","19317573","1556276X","10.1186/s11671-017-1963-6","212","","Journal article (JA)","Silver nanowires without particles are synthesized by a solvothermal method at temperature 150 °C. Silver nanowires are prepared via a reducing agent of glycerol and a capping agent of polyvinylpyrrolidone (Mw≈ 1,300,000). Both of them can improve the purity of the as-prepared silver nanowires. With controllable shapes and sizes, silver nanowires are grown continuously up to 10–20 μm in length with 40–50 nm in diameter. To improve the yield of silver nanowires, the different concentrations of AgNO3synthesis silver nanowires are discussed. The characterizations of the synthesized silver nanowires are analyzed by UV-visible absorption spectroscopy, X-ray diffraction (XRD), scanning electron microscopy (SEM), and atomic force microscope (AFM), and silver nanowires are pumped on the cellulose membrane and heated stress on the PET. Then, the cellulose membrane is dissolved by the steam of acetone to prepare flexible transparent conducting thin film, which is detected 89.9 of transmittance and 58 Ω/. Additionally, there is a close loop connected by the thin film, a blue LED, a pair of batteries, and a number of wires, to determinate directly the film if conductive or not. © 2017, The Author(s).","17","Silver","Absorption spectroscopy - Acetone - Atomic force microscopy - Cellulose - Electric resistance measurement - Film preparation - Nanowires - Scanning electron microscopy - Thin films - X ray diffraction","Cellulose membranes - Conductive - Controllable synthesis - Poly vinyl pyrrolidone - Silver nanowires - Solvothermal method - Transmittance - Transparent conducting films","547.1 Precious MetalsPrecious Metals - 741.3 Optical Devices and SystemsOptical Devices and Systems - 761 NanotechnologyNanotechnology - 804.1 Organic CompoundsOrganic Compounds - 811.3 Cellulose, Lignin and DerivativesCellulose, Lignin and Derivatives - 933 Solid State PhysicsSolid State Physics - 942.2 Electric Variables MeasurementsElectric Variables Measurements","Compendex","Compilation and indexing terms, Copyright 2017 Elsevier Inc.","Engineering Village"
"The Influence of Hafnium Doping on Density of States in Zinc Oxide Thin-Film Transistors Deposited via Atomic Layer Deposition","20170503299218","Ding, Xingwei (1, 2); Qin, Cunping (2); Song, Jiantao (1); Zhang, Jianhua (1, 2); Jiang, Xueyin (3); Zhang, Zhilin (1, 3) ","(1) Key Laboratory of Advanced Display and System Application, Ministry of Education, Shanghai University, 149 Yanchang Road, Jingan District, Shanghai; 200070, China (2) School of Mechatronics and Automation, Shanghai University, Shanghai; 200072, China (3) Department of Materials Science, Shanghai University, Shanghai; 200072, China ","Zhang, Jianhua(dxw1026@126.com) ","Nanoscale Research Letters","Nanoscale Res. Lett.","Springer New York LLC","12","1","","December 1, 2017","2017","English","19317573","1556276X","10.1186/s11671-017-1852-z","63","","Journal article (JA)","Thin-film transistors (TFTs) with atomic layer deposition (ALD) HfZnO (HZO) as channel layer and Al2O3as gate insulator were successfully fabricated. Compared with ZnO-TFT, the stability of HZO-TFT was obviously improved as Hf doping can suppress the generation of oxygen related defects. The transfer characteristics of TFTs at different temperatures were also investigated, and temperature stability enhancement was observed for the TFT with Hf doping. The density of states (DOS) was calculated based on the experimentally obtained Ea, which can explain the experimental observation. A high-field effect mobility of 9.4 cm2/Vs, a suitable turn-on voltage of 0.26 V, a high on/off ratio of over 107and a steep sub-threshold swing of 0.3 V/decade were obtained in HZO-TFT. The results showed that temperature stability enhancement in HfZnO thin-film transistors are attributed to the smaller DOS. © 2017, The Author(s).","36","Thin film transistors","Atomic layer deposition - Deposition - Hafnium - Semiconductor doping - Thin film circuits - Thin films - Zinc oxide","High field effect mobility - Oxygen-related defects - Subthreshold swing - Temperature stability - Thin-film transistor (TFTs) - Transfer characteristics - Turn-on voltages - Zinc oxide thin films","549.3 Nonferrous Metals and Alloys excluding Alkali and Alkaline Earth Metals Nonferrous Metals and Alloys excluding Alkali and Alkaline Earth Metals - 712.1 Semiconducting MaterialsSemiconducting Materials - 714.2 Semiconductor Devices and Integrated CircuitsSemiconductor Devices and Integrated Circuits - 802.3 Chemical OperationsChemical Operations - 804.2 Inorganic CompoundsInorganic Compounds - 813.1 Coating TechniquesCoating Techniques","Compendex","Compilation and indexing terms, Copyright 2017 Elsevier Inc.","Engineering Village"
"Magnetoresistance Versus Oxygen Deficiency in Epi-stabilized SrRu1 − xFexO3 − δThin Films","20171103431698","Dash, Umasankar (1); Acharya, Susant Kumar (1); Lee, Bo Wha (1); Jung, Chang Uk (1) ","(1) Department of Physics and Oxide Research Centre, Hankuk University of Foreign Studies, Yongin; 17035, Korea, Republic of ","Jung, Chang Uk(cu-jung@hufs.ac.kr) ","Nanoscale Research Letters","Nanoscale Res. Lett.","Springer New York LLC","12","1","","December 1, 2017","2017","English","19317573","1556276X","10.1186/s11671-017-1950-y","168","","Journal article (JA)","Oxygen vacancies have a profound effect on the magnetic, electronic, and transport properties of transition metal oxide materials. Here, we studied the influence of oxygen vacancies on the magnetoresistance (MR) properties of SrRu1 − xFexO3 - δepitaxial thin films (x = 0.10, 0.20, and 0.30). For this purpose, we synthesized highly strained epitaxial SrRu1 − xFexO3 − δthin films with atomically flat surfaces containing different amounts of oxygen vacancies using pulsed laser deposition. Without an applied magnetic field, the films with x = 0.10 and 0.20 showed a metal–insulator transition, while the x = 0.30 thin film showed insulating behavior over the entire temperature range of 2–300 K. Both Fe doping and the concentration of oxygen vacancies had large effects on the negative MR contributions. For the low Fe doping case of x = 0.10, in which both films exhibited metallic behavior, MR was more prominent in the film with fewer oxygen vacancies or equivalently a more metallic film. For semiconducting films, higher MR was observed for more semiconducting films having more oxygen vacancies. A relatively large negative MR (~36.4%) was observed for the x = 0.30 thin film with a high concentration of oxygen vacancies (δ = 0.12). The obtained results were compared with MR studies for a polycrystal of (Sr1 − xLax)(Ru1 − xFex)O3. These results highlight the crucial role of oxygen stoichiometry in determining the magneto-transport properties in SrRu1 − xFexO3 − δthin films. © 2017, The Author(s).","27","Oxygen vacancies","Deposition - Magnetic field effects - Magnetoresistance - Metal insulator transition - Metals - Oxygen - Pulsed laser deposition - Semiconducting films - Semiconductor doping - Thin films - Transition metal compounds - Transition metals - Transport properties - Vacancies - X ray diffraction","Applied magnetic fields - Atomically flat surface - Epitaxial thin films - Fe-doped - Magneto transport properties - Magnetoresistance properties - Reciprocal space mapping - Transition-metal oxides","531 Metallurgy and MetallographyMetallurgy and Metallography - 701.2 Magnetism: Basic Concepts and PhenomenaMagnetism: Basic Concepts and Phenomena - 712.1 Semiconducting MaterialsSemiconducting Materials - 744.9 Laser ApplicationsLaser Applications - 802.3 Chemical OperationsChemical Operations - 804 Chemical Products GenerallyChemical Products Generally - 931.2 Physical Properties of Gases, Liquids and SolidsPhysical Properties of Gases, Liquids and Solids - 933.1 Crystalline SolidsCrystalline Solids","Compendex","Compilation and indexing terms, Copyright 2017 Elsevier Inc.","Engineering Village"
"Electric Field Oriented Nanostructured Organic Thin Films with Polarized Luminescence","20171003421519","Karbovnyk, I.D. (1); Olenych, I. (1); Kukhta, I.N. (2); Lugovskii, A. (3); Sasnouski, G. (3); Chutora, T. (4); Luchechko, A.P. (1); Khalakhan, I. (5); Kukhta, A. (6, 7) ","(1) Department of Electronics and Computer Technologies, Ivan Franko National University of Lviv, Lviv, Ukraine (2) Institute of Chemistry of New Materials, National Academy of Sciences of Belarus, Minsk, Belarus (3) Institute for Applied Physical Problems, Belarusian State University, Minsk, Belarus (4) Regional Centre of Advanced Technologies and Materials, Faculty of Science, Joint Laboratory of Optics of Palacký University and Institute of Physics AS CR, Olomouc, Czech Republic (5) Department of Surface and Plasma Science, Faculty of Mathematics and Physics, Charles University, Prague, Czech Republic (6) Institute for Nuclear Problems, Belarusian State University, Minsk, Belarus (7) Tomsk State University, Tomsk, Russia ","Karbovnyk, I.D.(ivan_karbovnyck@yahoo.com) ","Nanoscale Research Letters","Nanoscale Res. Lett.","Springer New York LLC","12","1","","December 1, 2017","2017","English","19317573","1556276X","10.1186/s11671-017-1936-9","166","","Journal article (JA)","The effect of the external electric field of 105 V/m on the ordering of two luminescent liquid crystalline molecules (1-pentyl-2/,3/-difluoro-3///-methyl-4////-octyl-p-quinguephenyl and 9,10-Bis (4-pentylphenylethynyl)antracene) during thermal vacuum deposition is studied. The morphology, electrical conductivity, optical absorption, luminescence spectra, and polarization are presented and analyzed. All data show the formation of ordered films. The polarization degree is 60% for 1-pentyl-2/,3/-difluoro-3///-methyl-4////-octyl-p-quinguephenyl oriented films and 28% for 9,10-Bis (4-pentylphenylethynyl)antracene. The lower value of M2 luminescence polarization can be explained by the absence of dipole moment in this molecule. © 2017, The Author(s).","24","Thin films","Crystalline materials - Electric fields - Electromagnetic wave absorption - Light absorption - Luminescence - Molecules - Morphology - Polarization","Electrical conductivity - External electric field - Liquid crystalline molecules - Luminescence polarization - Luminescence spectrum - Organic thin films - Polarization degree - Polarized luminescence","701.1 Electricity: Basic Concepts and PhenomenaElectricity: Basic Concepts and Phenomena - 711 Electromagnetic WavesElectromagnetic Waves - 741.1 Light/OpticsLight/Optics - 931.3 Atomic and Molecular PhysicsAtomic and Molecular Physics - 933.1 Crystalline SolidsCrystalline Solids - 951 Materials ScienceMaterials Science","Compendex","Compilation and indexing terms, Copyright 2017 Elsevier Inc.","Engineering Village"
"Enhancement of Perovskite Solar Cells Efficiency using N-Doped TiO2Nanorod Arrays as Electron Transfer Layer","20170403268652","Zhang, Zhen-Long (1); Li, Jun-Feng (1); Wang, Xiao-Li (1); Qin, Jian-Qiang (1); Shi, Wen-Jia (1); Liu, Yue-Feng (1); Gao, Hui-Ping (1); Mao, Yan-Li (1, 2) ","(1) School of Physics and Electronics, Henan University, Kaifeng; 475004, China (2) Institute for Computational Materials Science, Henan University, Kaifeng; 475004, China ","Mao, Yan-Li(ylmao1@163.com) ","Nanoscale Research Letters","Nanoscale Res. Lett.","Springer New York LLC","12","1","","December 1, 2017","2017","English","19317573","1556276X","10.1186/s11671-016-1811-0","43","","Journal article (JA)","In this paper, N-doped TiO2(N-TiO2) nanorod arrays were synthesized with hydrothermal method, and perovskite solar cells were fabricated using them as electron transfer layer. The solar cell performance was optimized by changing the N doping contents. The power conversion efficiency of solar cells based on N-TiO2with the N doping content of 1% (N/Ti, atomic ratio) has been achieved 11.1%, which was 14.7% higher than that of solar cells based on un-doped TiO2. To get an insight into the improvement, some investigations were performed. The structure was examined with X-ray powder diffraction (XRD), and morphology was examined by scanning electron microscopy (SEM). Energy dispersive spectrometer (EDS) and Tauc plot spectra indicated the incorporation of N in TiO2nanorods. Absorption spectra showed higher absorption of visible light for N-TiO2than un-doped TiO2. The N doping reduced the energy band gap from 3.03 to 2.74 eV. The photoluminescence (PL) and time-resolved photoluminescence (TRPL) spectra displayed the faster electron transfer from perovskite layer to N-TiO2than to un-doped TiO2. Electrochemical impedance spectroscopy (EIS) showed the smaller resistance of device based on N-TiO2than that on un-doped TiO2. © 2017, The Author(s).","37","Solar cells","Doping (additives) - Electrochemical impedance spectroscopy - Electron transitions - Electrons - Energy gap - Nanorods - Perovskite - Perovskite solar cells - Photoluminescence - Scanning electron microscopy - Semiconducting films - Spectrometers - Titanium dioxide - X ray powder diffraction","Electron transfer - Energy dispersive spectrometers - Hydrothermal methods - Nano-rod arrays - Perovskite layers - Power conversion efficiencies - Solar cell performance - Time-resolved photoluminescence","482.2 MineralsMinerals - 702.3 Solar CellsSolar Cells - 712.1 Semiconducting MaterialsSemiconducting Materials - 741.1 Light/OpticsLight/Optics - 741.3 Optical Devices and SystemsOptical Devices and Systems - 761 NanotechnologyNanotechnology - 801 ChemistryChemistry - 804.2 Inorganic CompoundsInorganic Compounds - 933 Solid State PhysicsSolid State Physics","Compendex","Compilation and indexing terms, Copyright 2017 Elsevier Inc.","Engineering Village"
"Plasma-Assisted Atomic Layer Deposition of High-Density Ni Nanoparticles for Amorphous In-Ga-Zn-O Thin Film Transistor Memory","20170803383007","Qian, Shi-Bing (1); Wang, Yong-Ping (1); Shao, Yan (1); Liu, Wen-Jun (1); Ding, Shi-Jin (1) ","(1) State Key Laboratory of ASIC and System, School of Microelectronics, Fudan University, Shanghai; 200433, China ","Ding, Shi-Jin(sjding@fudan.edu.cn) ","Nanoscale Research Letters","Nanoscale Res. Lett.","Springer New York LLC","12","1","","December 1, 2017","2017","English","19317573","1556276X","10.1186/s11671-017-1925-z","138","","Journal article (JA)","For the first time, the growth of Ni nanoparticles (NPs) was explored by plasma-assisted atomic layer deposition (ALD) technique using NiCp2and NH3precursors. Influences of substrate temperature and deposition cycles on ALD Ni NPs were studied by field emission scanning electron microscope and X-ray photoelectron spectroscopy. By optimizing the process parameters, high-density and uniform Ni NPs were achieved in the case of 280 °C substrate temperature and 50 deposition cycles, exhibiting a density of ~1.5 × 1012 cm−2and a small size of 3~4 nm. Further, the above Ni NPs were used as charge storage medium of amorphous indium-gallium-zinc oxide (a-IGZO) thin film transistor (TFT) memory, demonstrating a high storage capacity for electrons. In particular, the nonvolatile memory exhibited an excellent programming characteristic, e.g., a large threshold voltage shift of 8.03 V was obtained after being programmed at 17 V for 5 ms. © 2017, The Author(s).","32","Atomic layer deposition","Amorphous films - Amorphous semiconductors - Atoms - Data storage equipment - Deposition - Gallium - Indium - Nanoparticles - Nickel - Pulsed laser deposition - Scanning electron microscopy - Semiconducting indium compounds - Thin film circuits - Thin film transistors - Thin films - Threshold voltage - X ray photoelectron spectroscopy - Zinc","Amorphous indiumgallium-zinc oxide (a-IGZO) thin-film transistor (TFTs) - Field emission scanning electron microscopes - In-ga-zn-o - Ni Nanoparticles - Plasma assisted atomic layer depositions - Substrate temperature - Thin-film transistor memory - Threshold voltage shifts","546.3 Zinc and AlloysZinc and Alloys - 548.1 NickelNickel - 549.3 Nonferrous Metals and Alloys excluding Alkali and Alkaline Earth Metals Nonferrous Metals and Alloys excluding Alkali and Alkaline Earth Metals - 701.1 Electricity: Basic Concepts and PhenomenaElectricity: Basic Concepts and Phenomena - 712.1.2 Compound Semiconducting MaterialsCompound Semiconducting Materials - 714.2 Semiconductor Devices and Integrated CircuitsSemiconductor Devices and Integrated Circuits - 722.1 Data Storage, Equipment and TechniquesData Storage, Equipment and Techniques - 744.9 Laser ApplicationsLaser Applications - 761 NanotechnologyNanotechnology - 802.3 Chemical OperationsChemical Operations - 931.3 Atomic and Molecular PhysicsAtomic and Molecular Physics - 933 Solid State PhysicsSolid State Physics","Compendex","Compilation and indexing terms, Copyright 2017 Elsevier Inc.","Engineering Village"
